nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
URS0000444F4B/Staphylococcus,4,3,1,4,2,1,2,2,0,2,0,1,3,0,1,6,1,0,1,3,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,3,0,1,0,4,0,0,1,7,1,1,5,0,0,0,3,1,2,0,1,6,1,2,3,snoRNA
URS000045F19A/Pseudomonas,1,0,0,2,0,1,2,2,0,1,0,0,1,2,1,0,1,0,1,1,0,0,0,1,2,3,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,1,1,2,0,2,0,1,0,1,0,2,0,1,0,0,2,1,0,0,0,0,2,snoRNA
URS000046068B/Peptoniphilus,3,0,1,5,1,0,0,2,0,0,4,1,5,0,0,5,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,1,2,5,0,4,1,2,1,0,0,1,1,0,1,3,1,1,3,snoRNA
URS0000467D3B/Clostridium,1,0,0,2,2,1,0,3,3,1,1,1,2,2,1,0,0,0,1,1,1,1,0,0,1,2,0,1,1,2,2,1,2,0,5,1,0,0,0,0,2,0,2,1,0,2,1,2,1,1,2,3,2,1,1,2,2,1,0,0,0,1,2,1,snoRNA
URS00004A6F12/Acinetobacter,2,0,1,3,4,0,0,2,3,2,2,1,2,1,2,2,3,1,0,1,0,0,0,0,1,0,1,1,1,0,2,2,0,1,1,2,1,1,0,2,1,1,0,0,0,1,3,2,6,1,0,5,0,0,0,2,1,0,2,1,3,3,2,2,snoRNA
URS00004B8A9C/Borreliella,3,1,3,3,1,0,0,2,2,1,0,3,4,1,1,4,1,0,0,3,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,2,1,1,0,1,1,0,0,0,1,0,1,2,7,3,1,3,0,0,0,2,2,0,1,0,6,0,2,6,snoRNA
URS00004BC090/Staphylococcus,0,1,0,4,3,0,0,3,0,0,1,1,3,0,2,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,0,0,3,1,0,0,0,1,0,0,1,0,0,1,2,2,2,1,3,1,0,0,1,1,2,1,1,3,2,4,4,snoRNA
URS00004E002C/Escherichia,3,6,4,2,4,2,3,3,2,6,2,3,1,2,4,1,0,3,0,2,6,6,0,4,6,1,2,4,7,5,4,5,2,2,4,1,4,2,4,4,1,4,0,2,0,3,5,5,3,4,4,8,3,3,4,3,3,2,0,4,2,4,2,8,snoRNA
URS00004ED4E8/Ruminococcus,3,0,0,5,0,0,1,1,1,4,1,1,2,1,2,3,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,5,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2,2,4,1,2,0,0,3,1,0,0,0,3,1,3,4,snoRNA
URS00004FB377/Escherichia,4,1,0,4,4,2,5,2,1,2,1,4,0,2,2,4,3,5,2,2,3,4,0,1,2,4,2,1,3,5,2,2,1,3,1,1,2,2,5,4,2,3,1,2,4,1,1,0,2,2,3,3,3,2,2,2,2,2,3,0,1,3,2,0,snoRNA
URS0000528960/Escherichia,0,1,2,2,2,1,0,1,1,1,0,4,1,1,1,2,0,1,2,0,4,1,0,0,2,2,2,0,0,1,2,0,0,1,3,2,1,0,0,1,1,3,1,1,2,0,3,3,3,1,1,1,1,0,3,0,2,0,2,0,0,0,0,5,snoRNA
URS000052A82F/Lachnoanaerobaculum,3,1,2,4,1,0,0,1,1,2,1,0,2,0,1,5,0,0,0,0,1,0,0,0,1,1,0,2,2,1,2,1,2,0,2,3,0,0,0,1,0,0,0,0,1,0,1,1,3,1,1,1,2,2,1,2,1,2,0,1,3,1,1,0,snoRNA
URS000053B4A6/Staphylococcus,0,1,0,4,3,0,0,2,0,0,1,1,1,0,2,3,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,2,2,1,0,2,2,0,0,0,1,0,0,1,0,0,1,1,2,2,0,2,1,0,0,1,1,1,1,1,3,2,4,4,snoRNA
URS0000572081/Fusobacterium,10,2,1,3,2,2,0,0,1,2,1,3,7,0,1,4,1,0,1,1,1,1,0,0,3,0,0,1,1,0,1,0,2,1,2,1,1,0,0,0,1,0,0,0,1,2,2,0,3,0,5,5,2,0,0,2,1,1,0,0,2,0,0,3,snoRNA
URS00005764CB/Listeria,2,1,1,4,2,0,1,1,1,1,1,1,2,4,0,3,2,0,1,2,1,0,0,1,1,0,1,0,1,0,3,2,2,1,1,0,1,1,1,1,2,0,0,1,0,0,2,1,5,1,0,3,1,1,1,1,2,3,0,1,1,1,2,3,snoRNA
URS0000579220/Pseudomonas,1,3,1,0,2,0,0,2,0,0,1,2,1,0,4,2,0,0,0,0,0,0,0,1,5,1,1,2,0,0,2,1,4,2,4,0,0,1,2,3,0,1,1,0,0,1,1,0,2,1,0,1,1,1,1,0,1,3,1,0,1,0,0,1,snoRNA
URS0000579A2E/Staphylococcus,3,0,0,6,0,1,0,1,0,0,0,0,8,1,2,4,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,5,1,0,0,2,2,0,0,1,3,1,1,7,snoRNA
URS0000581B0C/Streptococcus,2,1,1,0,1,0,0,1,0,0,4,0,1,0,3,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,2,3,0,0,0,0,0,0,2,2,0,1,3,1,2,2,2,0,1,2,2,1,1,0,1,2,0,3,2,0,2,2,2,snoRNA
URS00005879DF/Bacillus,2,2,3,4,4,1,1,1,5,1,2,0,3,1,0,4,1,1,0,3,0,0,0,1,1,0,1,1,1,0,0,1,4,0,3,1,1,0,0,1,0,1,1,2,3,1,0,1,3,1,2,4,1,0,0,0,3,0,1,0,2,2,4,1,snoRNA
URS0000589823/Staphylococcus,3,1,2,0,2,0,0,1,0,0,1,0,2,1,2,3,2,1,0,2,0,2,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,4,0,1,2,0,2,0,3,2,0,0,2,2,0,1,5,0,2,1,2,snoRNA
URS0000595118/Ruminococcus,4,3,1,2,0,1,0,1,2,0,2,0,2,0,3,1,1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,2,2,0,1,2,1,0,0,2,1,1,0,0,1,2,2,0,2,1,2,0,0,0,0,4,3,1,1,1,0,0,2,3,snoRNA
URS00005C8E9E/Escherichia,5,5,2,5,3,4,1,3,3,2,4,4,3,3,2,2,2,2,4,1,5,1,1,1,5,3,3,1,1,3,2,2,7,1,3,2,3,1,2,1,3,0,1,2,2,3,2,3,4,0,3,4,3,3,2,3,0,3,1,0,0,3,2,2,snoRNA
URS00005E01BA/Ureaplasma,9,0,2,6,3,0,0,1,3,1,1,0,8,4,3,4,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,11,1,0,9,2,0,0,0,0,0,0,2,1,1,0,3,snoRNA
URS00005E8AE1/Streptococcus,11,4,2,3,4,2,0,0,1,1,2,1,3,0,2,5,4,0,1,1,1,0,0,0,3,0,0,0,0,0,1,0,4,0,1,3,0,0,0,1,1,0,0,0,2,0,1,0,3,1,1,2,2,0,0,1,2,1,1,0,1,2,1,0,snoRNA
URS00005FD037/Streptococcus,4,0,1,4,3,1,0,1,0,0,1,1,0,6,1,4,2,1,0,1,0,0,0,1,1,0,1,2,2,2,0,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,2,3,2,3,0,1,5,3,0,0,0,1,2,1,3,snoRNA
URS0000601B65/Escherichia,0,0,0,1,0,1,1,0,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,4,0,0,0,1,2,1,2,3,0,1,0,1,1,0,2,3,0,0,1,8,0,2,1,2,0,1,2,2,4,2,3,15,snoRNA
URS000060693A/Leptospira,17,0,4,4,0,0,0,1,4,0,0,2,3,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,7,1,2,6,3,1,0,1,2,0,1,0,6,2,0,7,snoRNA
URS0000612931/Clostridium,10,0,6,5,0,0,0,2,7,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,0,3,0,0,0,0,0,4,1,0,0,1,0,4,2,6,0,1,1,0,0,0,2,1,0,1,2,2,0,3,4,snoRNA
URS0000614EC1/Capnocytophaga,13,0,2,8,0,0,0,1,2,0,0,1,5,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,5,0,0,4,1,0,0,0,3,0,0,0,2,1,3,2,snoRNA
URS000064439A/Escherichia,6,1,1,2,2,1,4,1,3,3,3,3,5,0,3,5,1,1,0,5,0,2,2,2,3,2,2,1,1,4,0,5,4,1,2,4,4,1,1,2,1,1,1,1,1,3,3,2,7,3,3,3,3,3,2,1,3,1,0,3,1,4,3,8,snoRNA
URS0000668254/Escherichia,2,1,2,1,0,1,1,1,1,2,1,0,0,0,2,0,1,1,1,0,0,2,0,2,3,0,2,0,0,1,0,1,1,0,2,1,1,1,2,0,2,3,1,2,3,0,1,0,1,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,snoRNA
URS0000691A78/Escherichia,2,2,2,1,2,1,4,5,3,1,2,4,1,3,4,2,0,2,1,1,1,2,2,4,3,3,3,2,3,1,3,4,3,1,3,1,2,0,1,0,1,3,2,4,1,5,2,7,7,5,3,4,4,2,0,5,1,1,0,3,4,4,4,5,snoRNA
URS0000691DA3/Escherichia,8,2,2,4,4,1,1,4,3,1,3,2,6,5,2,5,1,1,1,4,2,0,2,0,5,1,0,2,1,2,0,2,2,0,0,5,3,0,2,0,1,0,1,1,4,0,0,4,9,5,3,6,0,3,2,0,0,0,2,1,3,3,3,6,snoRNA
URS0000696027/Escherichia,19,9,5,7,7,2,9,6,7,5,9,4,6,2,10,10,5,4,3,4,6,5,3,7,6,5,4,5,6,5,5,8,17,5,6,1,4,5,6,2,4,3,7,10,5,4,3,8,8,11,4,10,9,2,5,2,5,6,3,7,4,6,8,9,snoRNA
URS00006B944E/Escherichia,7,1,6,5,2,0,2,0,2,2,2,4,6,3,2,4,5,0,0,0,1,1,2,2,0,1,1,1,0,1,1,1,4,0,5,3,1,1,1,0,4,2,1,2,3,1,0,3,3,2,3,3,2,0,2,0,5,0,2,2,2,2,1,6,snoRNA
URS00006E54FA/Escherichia,5,4,2,4,5,0,2,3,5,1,0,0,0,3,2,4,2,2,2,1,2,0,1,2,2,0,1,0,0,2,1,1,5,1,0,2,0,0,0,1,2,0,0,2,0,2,4,0,8,0,1,1,0,0,3,0,3,1,0,2,1,3,1,3,snoRNA
URS000070D6E7/Escherichia,4,4,2,4,6,4,2,2,2,1,3,2,7,2,2,2,3,2,0,3,5,3,2,5,2,5,5,2,1,2,2,6,3,1,2,2,1,3,4,1,0,3,3,5,2,5,6,4,5,5,2,7,1,0,1,7,5,1,3,2,2,6,6,4,snoRNA
URS0000735D07/Escherichia,2,1,2,0,1,3,3,1,0,2,0,0,0,1,0,1,2,1,0,0,2,2,2,2,1,1,4,1,1,0,2,1,3,2,0,1,0,0,2,0,0,4,3,2,0,1,1,2,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,4,snoRNA
URS00009D2A60/Pseudomonas,2,0,1,3,2,3,2,4,2,2,1,1,3,2,3,1,3,0,1,1,3,1,3,4,3,4,5,1,1,2,1,3,1,1,0,1,1,1,2,4,2,0,0,1,3,5,2,6,1,5,4,7,1,2,1,1,3,4,1,0,0,3,3,9,snoRNA
URS00009E59BB/Pseudomonas,4,3,1,1,7,6,0,4,3,4,5,3,0,5,3,2,1,7,6,5,5,8,7,6,7,6,9,7,1,6,2,2,4,3,4,3,4,10,12,2,4,10,6,1,3,3,2,0,1,2,4,2,5,4,2,3,0,3,1,1,2,5,5,3,snoRNA
URS00009EA88F/Pseudomonas,13,6,9,5,5,12,4,7,7,10,12,5,5,5,6,3,7,5,8,7,5,9,4,4,10,12,8,7,3,10,7,6,7,4,10,7,9,8,11,8,5,9,5,2,4,6,9,8,13,3,3,6,10,2,9,5,6,7,2,5,3,4,6,8,snoRNA
URS0000A394B1/Pseudomonas,6,1,2,3,2,1,3,1,5,5,5,2,1,0,2,1,1,1,3,1,3,2,0,1,1,1,7,1,0,2,1,2,3,7,3,2,5,2,1,2,5,2,2,1,0,1,3,3,2,0,2,2,4,0,1,0,0,1,3,0,0,2,3,1,snoRNA
URS0000A55751/Pseudomonas,0,1,0,0,0,1,4,1,1,3,0,1,0,0,0,0,0,2,0,0,4,3,1,3,0,8,4,4,0,0,4,3,0,0,2,3,2,2,4,2,0,8,3,2,0,4,12,2,1,1,1,1,1,1,2,6,2,3,4,3,1,0,5,5,snoRNA
URS0000A643F4/Pseudomonas,0,0,0,0,1,2,3,1,0,1,0,1,3,0,0,0,1,0,1,1,0,3,2,1,1,3,3,0,1,0,3,1,0,3,1,0,1,1,2,1,0,3,3,2,1,0,0,3,0,1,1,2,1,1,1,0,1,2,1,0,0,1,0,4,snoRNA
URS0000A72345/Pseudomonas,2,3,2,2,1,2,0,1,3,1,1,0,1,2,2,5,1,0,4,3,1,2,2,2,0,0,3,2,1,4,2,4,3,1,1,0,3,2,2,7,1,4,3,2,1,2,2,1,2,1,3,0,2,1,1,2,4,4,3,4,2,2,3,6,snoRNA
URS0000AFCC71/Chryseobacterium,0,0,1,3,5,0,0,3,0,3,1,0,1,0,0,3,2,0,1,1,0,0,0,0,2,1,0,0,2,2,1,5,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,2,2,2,2,4,1,3,1,1,1,0,1,0,1,5,0,4,snoRNA
URS00006D7E9B/Escherichia,3,2,0,0,0,0,1,1,0,0,5,0,1,1,1,5,1,0,1,1,0,2,2,1,1,1,2,1,0,2,1,1,3,0,1,2,2,1,1,0,2,3,2,1,1,0,0,0,2,1,0,3,2,1,1,2,0,0,1,0,3,2,0,0,snoRNA
URS0000B0ED1F/Burkholderia,0,2,0,0,2,1,5,0,3,3,4,2,0,1,0,1,2,4,3,1,2,2,0,3,1,2,5,4,0,1,2,1,2,3,2,1,3,1,9,0,4,5,4,1,0,1,8,0,3,1,0,0,1,0,2,1,1,3,1,1,0,2,0,0,snoRNA
URS0000B151AA/Curtobacterium,1,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0,3,1,1,0,4,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,2,3,0,1,0,2,2,1,0,0,0,0,1,2,0,0,0,0,1,snoRNA
URS000072FDDE/Fusobacterium,6,1,0,2,0,0,0,1,1,0,1,3,4,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1,4,2,0,0,3,0,1,0,1,5,1,1,5,snoRNA
URS0000735E97/Fusobacterium,9,0,6,2,2,1,0,1,3,1,1,1,4,0,1,5,1,0,0,1,0,0,0,2,1,2,0,0,1,1,1,0,5,0,1,2,0,0,0,1,0,1,1,0,1,1,1,1,7,0,2,2,2,0,0,1,2,2,0,1,1,1,2,2,snoRNA
URS0000743B49/Fusobacterium,2,0,2,5,0,0,0,0,3,0,3,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,4,1,1,0,2,0,2,5,0,1,0,1,3,0,0,1,4,0,2,7,snoRNA
URS000074AAB1/Eubacterium,4,2,2,3,1,0,1,3,2,0,0,2,3,1,2,6,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,2,0,1,2,6,0,3,3,1,0,0,0,1,1,2,1,3,1,0,0,snoRNA
URS0000753C0D/Prevotella,6,1,5,3,1,1,0,1,4,0,0,2,4,0,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,4,0,1,2,1,0,0,1,1,1,0,0,0,0,3,0,6,0,0,3,0,0,0,0,2,2,1,0,2,0,1,2,snoRNA
URS00007553FE/Streptococcus,3,1,2,1,2,0,0,0,3,0,0,5,2,1,0,4,0,0,1,1,0,0,1,3,0,1,0,0,1,0,1,0,2,1,2,2,0,0,0,0,1,2,0,0,1,0,1,1,3,2,2,2,2,0,1,0,0,0,1,0,4,1,1,0,snoRNA
URS0000A10225/Pseudomonas,2,1,1,2,2,2,1,3,2,2,2,0,3,2,6,3,3,1,1,1,3,2,3,2,2,2,7,1,0,2,1,1,2,1,0,2,1,2,3,5,3,1,0,1,6,3,1,5,1,3,5,7,0,1,1,1,3,3,2,4,0,4,1,7,snoRNA
URS0000B9EEC3/Escherichia,2,2,2,4,4,3,1,2,2,2,2,1,3,4,1,3,2,2,0,3,2,8,3,3,2,2,4,4,0,1,4,6,1,4,2,4,3,0,2,0,4,3,4,2,4,1,3,2,3,3,3,2,6,2,1,5,2,2,1,2,0,6,5,5,snoRNA
URS0000699735/Escherichia,4,3,1,4,4,0,1,4,1,1,0,2,0,3,3,4,2,2,1,0,2,0,0,3,3,0,1,0,0,2,1,1,5,1,1,1,0,0,0,1,2,0,0,1,0,2,2,0,9,0,1,0,0,0,3,0,2,1,0,2,1,3,2,3,snoRNA
URS000016FBD9/Escherichia,5,2,6,3,1,1,1,0,5,3,2,2,2,2,2,3,2,1,3,1,0,1,1,3,1,0,3,4,1,0,4,4,2,1,2,3,2,3,3,3,5,3,0,0,2,2,3,4,4,1,2,1,3,4,2,1,1,4,4,1,2,1,0,3,snoRNA
URS00007ED7A2/Escherichia,0,0,0,1,3,1,0,0,3,1,0,3,0,2,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,3,1,1,2,0,1,0,0,1,2,1,1,3,0,0,0,4,3,4,0,0,7,0,0,1,1,1,1,0,1,3,0,1,2,snoRNA
URS0000265A50/Escherichia,4,6,6,0,6,4,4,2,3,1,0,3,1,0,1,1,5,4,1,0,0,5,2,3,2,1,4,1,0,3,3,2,6,2,0,2,1,2,3,0,4,3,5,3,1,1,2,2,2,1,2,0,1,1,0,2,3,1,1,2,2,0,3,1,snoRNA
